PFTDPW,POMCPOW
-7.988034131278235,-15.352875309231381
-21.440561070311322,-5.521700365568906
-8.193943342350003,-31.46385105000001
-19.311307335000002,-30.91836257666999
-9.513111276830925,-3.645416877698037
-12.502350000000003,-10.132862576669991
-26.812529899921646,-5.731980283277764
-23.046305537458245,-13.632703122748055
-8.212366333277764,-14.401419529454989
-5.388392200500001,-16.69973552095499
-8.632009979479482,-10.068618205724256
-8.701486989286499,-30.226531093468648
-13.21684173845008,-3.535324122748051
-6.202336050000001,-11.002290349020075
-8.139402697623973,-39.87404791416451
-14.900886947559735,-11.309756011869737
-10.411293336919424,-17.87341152998333
-6.508424592334483,-7.001889030450002
-26.739336676485,-11.867101182405003
-10.071093865910923,-16.844287670935415
0.0,-14.340481981419739
-24.07065858291974,-2.5015772549499866
-22.90399670855685,-6.457008150000003
-28.288306343115007,-30.335124653652752
-23.910248742493504,-10.96981002863474
-3.6450000000000005,-22.130869418888334
-15.90291206543333,-20.987421392499076
-26.424354687493505,-31.00155810547325
-12.426701426985,-12.154560490673992
-1.0294556604732454,-20.6647674141645
-2.244478839286497,-18.608132728277766
-18.127943047215005,-31.324291450921656
-19.2824340088365,-16.942429409894896
-7.457798742493503,-24.29835349214093
-16.337952651521917,-5.26574464411949
-12.74979836919804,-15.642158941350004
-12.09291952945499,-26.88456175494999
-2.1523360500000006,-14.829993382905004
-4.915932914164501,-18.090383984464264
-7.001577254949987,-17.937913197442267
-4.050000000000001,-6.302205000000001
-23.58130147189725,-7.888840157904733
-10.267739191640924,0.0
-19.243287878330925,-1.5690529804500009
-16.656045283277766,-35.657979685577494
-13.94044227235773,-19.62799445331592
-1.4121476824050008,-22.827260835000004
-3.84818419964783,-15.614428111869742
-22.09931370773138,-12.947371419983332
-2.0703497171739715,-18.52061235172943
-20.888983783277766,-9.212953141640924
-11.20558816843065,-23.490111693444153
-3.2314131639895476,-9.524406864324739
-8.318543582919737,-11.635182211859991
-11.13248598768,-2.0262775765094894
-16.65367890154988,-7.8637419176739725
-21.824522872333237,-24.753647682405003
-9.080949812732753,-20.825546903664993
-7.487853638430815,-6.9551469577480525
-14.505051584123231,-10.102008150000003
-21.812884589949988,-6.457008150000003
-9.670016574875925,-23.456043836483335
-1.4121476824050008,-5.479851481419737
-5.7820772549499875,-8.312884589949988
-8.8693692011865,-18.822083686313327
-26.773241369276757,-14.916905660473248
-2.4029120654333296,-11.267827953227483
-3.4384252589144904,-25.136184991500006
-18.901934193279725,0.0
-15.680138477333333,-6.211049151521914
-7.776776499147831,-22.179603960166496
-8.722088176484998,-14.37612626306499
-10.312720623724491,-23.869033868244156
-9.201070376985,-21.05009847291974
-19.273074912121267,-12.530034025771267
-11.946291999147832,-15.58817843735499
-19.875718964164502,-2.1523360500000006
-16.12632098879349,-7.187575621484997
-6.060030283277763,-17.152528747299993
-18.37521314973305,-16.370380376985
-29.615193142731385,-10.041018026333331
-35.46115380459273,-4.236443047215002
-17.96893187979149,-4.236443047215002
-19.893838706959492,-6.551577254949987
-10.60983320768825,-9.685886517859492
-44.355451050000006,-13.94122330389
-12.275527784076061,-23.69429875024657
-22.29383962274805,-20.03223182324805
-4.223382914164501,-6.6552611065514995
-23.76579040494999,-33.72975337635001
-3.296175672748051,-19.90658099744349
-4.043780775137747,-38.59783641542324
-27.068708429479482,-16.725343584983328
-22.951707902966753,-2.3195261569349968
-3.280500000000001,-25.426241500433335
-8.590301123194138,-12.929866981419739
-16.642707328415838,-28.44479582093542
-20.15103670753665,-2.7709615299833295
0.0,-24.394406539792264
-19.077570918859497,-24.967775858836504
-5.203869529454989,-16.84532815376242
-19.896486425239566,-34.337357797985305
-18.44817958995273,-13.068429435000004
-11.266661101500002,-16.399106602280753
-9.259242764388976,-3.280500000000001
-11.80058074663665,-17.630683020463056
-6.468818059336498,-21.15
-19.14921940043333,-18.808270425450004
-31.797779350500008,-24.68258287635916
-12.285851717672996,-0.8338590849833288
-30.069830659904998,-13.51414468335576
-19.307719663824738,-13.371503459762762
-11.398392144236484,-22.062611386350007
-17.579261386350005,-10.801934193279727
-9.25792533865897,-18.432328809231382
-20.894454888619492,-29.082174583792266
-24.78522831335999,-28.129174506409402
-22.220983777705353,-14.344389751500005
-12.978414240649501,-10.014439394614504
-17.2266479256495,-4.309955660473246
-20.017271403340413,-4.358028962670073
-35.37364600638316,-36.36603006138316
-16.593074813244154,-31.218239253703047
-5.529455660473245,-4.400597200500002
-23.042688010244426,-15.586507403203509
-5.980649777984998,-9.420460267388332
-6.875830556959491,-18.317228435483333
-29.202251992125067,-17.611559236369725
-21.72990999973305,-18.402432914164503
-10.166195804894892,-13.491396679454994
-19.71195700990499,-30.007350000000002
-25.701086243614263,-6.786957676484997
-5.953380672748052,-5.030949812732751
-5.4642654815845475,-7.174453500000002
-19.947995455153055,-6.501109515664503
-8.127875858836497,-27.2304739641645
-15.899749854320842,-11.494719400433333
-12.994176596084237,-6.388779097215003
-16.23276399644805,-34.036950450077995
-13.95646755296675,-2.2460067673883297
-26.375339622748054,-10.935000000000002
-24.925739601330005,0.0
-35.277297299233055,-8.67861362650949
-9.207158941350002,-11.981688010244422
-29.763869350500006,-6.637094107303504
-12.826992044729147,-7.559295462359991
-27.02149467641304,-19.0682254189785
-25.777039028426326,-4.099723303889998
-20.07576996186974,0.0
-10.946963669114488,0.0
-16.344039224627767,-40.33274773636973
-7.959111090649498,-16.463293122748052
-12.825425858836496,-7.0159733304927645
-18.073623150000007,-8.492905663170074
-18.853768964164505,-3.7029231764849966
-17.299641373927262,-5.175425858836497
-14.554873130863054,-27.142889215433332
-7.22011719925754,-2.772847860973246
-26.217757980450003,-17.312798742493502
-3.420940160473246,-31.28067632841584
-2.5985086409232463,-3.1419576764849966
-10.824576466837497,-7.659608941350003
-12.98947414430183,-20.385695804894894
-5.793392200500001,-4.707158941350002
-4.236443047215002,-8.857350000000002
-0.6754258588364964,-13.124132009313225
-12.181304918244152,-40.56293452945499
-22.668466276350003,-3.6624174141645014
-3.420940160473246,-38.963115
-9.859931066403066,-20.976384105351006
-6.243392200500001,-20.662159052672994
-17.29125051564299,-7.681097200500002
-19.064461541726548,-4.97872757650949
-5.912147682405001,-7.098643441350003
-11.009686050000003,-15.293028962670075
-28.654643120759257,-14.796473330492766
-31.40415520528917,-41.400109181919746
-24.115159917216143,-13.632703122748055
-28.737180364454993,-9.911964292114261
-10.836233236982736,-14.850851717672994
-32.4318148892865,-23.610817494553046
-7.313148671915838,-8.630589696573153
-8.045597200500001,-11.704814745456575
-11.651174441756234,-3.717031281958242
-27.80379373384351,-9.97365042425183
-5.897639925450003,-1.3508517176729928
-21.99110043841943,-6.378594030450003
-11.169481281958243,-21.15757125730351
-4.551432914164502,-14.580162309594154
-17.354314070951748,-6.243392200500001
-15.981306999147835,-8.439282254949987
-19.453851957748054,-3.812798742493502
-6.652336050000001,-16.274786510874726
-6.573187101092986,-26.078778177493508
-27.444306376034238,-10.391386350940426
-11.495683280604144,-27.155506843643987
-15.697078763586152,-2.887231823248051
-9.199416924108972,-18.066128890256234
-16.59367814273138,-8.451514783277764
-10.802719663824739,-12.073836234983334
-28.20667876400299,-12.385256681428238
-14.43986932269804,-8.759897096084238
-9.311762106525814,-24.041086228277766
-9.344318059336498,-8.519957683843504
-15.268747509875928,-23.002877718247255
-0.6754258588364964,-4.522922483777764
-8.309824826724828,-31.08822421269804
-16.822747965459154,-26.511016240609646
-12.182830436034827,-19.43392049235001
-7.281413163989549,-1.9371024450000007
-17.813115000000003,-13.521126263064989
-4.069352682405001,-26.27512315685999
-19.234027768778326,-7.499459402966749
-4.043780775137747,-5.193839622748051
-7.893253812063978,-10.997276897073155
-18.06503235630908,-19.294120858889997
-18.331759181919736,-17.054053591500004
-21.349116617834998,-2.779530283277763
-34.59902901967426,-4.098694823000998
-19.723351722943505,-5.725297860973247
-10.465134792493503,-18.41350939975754
-16.43886507355815,-14.930193470804994
-9.591018026333332,-26.758709107303506
-12.523047914164504,-19.666943047215003
-20.79506721185999,-15.302115000000004
-7.803422483777764,-3.2808751899282336
-3.395259152203039,-8.335721226271266
-25.788868868244155,-12.368543582919738
-13.74751305939,-9.77892922708065
-5.380282669963052,-14.685166550649154
-16.315148742493506,-0.6754258588364964
-12.657028407638236,-26.850173095724255
-9.48337900047742,-17.332260527286834
-25.925358150000008,-30.772017761804992
-19.037359590649498,-3.5644837324050016
-3.7863090849833294,-10.935000000000002
-28.17325918191974,-5.46710590476276
-8.634545453590423,-20.736601182405003
-20.648526601500006,-9.245634792493505
-12.904606077493504,-15.998029538715006
-18.943120858889994,-14.807205000000002
