PFTDPW,POMCPOW
-20.349238481865825,-27.888705000000005
-28.619427547215004,-19.12746790140307
-21.06499347261937,-24.910896547215003
-14.23339622691584,-10.957008150000004
-35.50998373399351,-3.5626576820845473
-11.94571698141974,-2.0703497171739715
-10.95814867191584,-14.347443008590423
-4.5,-15.581518868244153
-21.156045283277766,-24.530076737966755
-12.059706884777766,-17.079053469002996
-1.9371024450000007,0.0
-12.280618964164503,-16.031803500000002
-17.926515000000006,-9.807292240334228
-13.736538433277767,-13.528578607303505
-7.633271252398492,-24.206373422278244
-5.3019060906494975,-11.465376700500002
-24.0979773221697,-8.132985827985
-19.76493424492949,-3.932264886958242
-0.8338590849833288,-12.094848814286484
0.0,-8.914169035775924
-2.0875735412414973,-6.526277576509489
-29.121615000000002,-1.8943127992330466
-9.145716003925326,-14.01521649547325
-15.102450000000001,-30.502116129979488
-15.86158445544999,-19.80204057198274
-31.980823625627767,-12.148976284240868
-0.750473176484996,-8.857350000000002
-12.078839622748053,-22.830608925450004
-16.065590577493506,-13.4965938392865
-28.269438427415835,-3.29721049067399
-2.6572050000000007,-18.518866981419738
-11.005146957748053,-2.4955630748759217
-15.102450000000001,-9.730176601500002
-20.371587699421646,-8.798979084674256
-30.18609384587473,-9.841500000000002
-2.9524500000000007,-21.264213150000003
-15.195070017405007,-31.748281419983336
-24.510537767672997,-23.040667980450003
-16.371735283277765,-14.773366333277766
-18.462248196573157,-16.908384696573155
-27.257777576509493,-12.194404599236226
-28.143487096439255,-9.120453436775925
-12.974654490344896,-13.326484500000003
-31.91300599025624,-35.57707548729999
-16.987402980450003,-10.794452445000003
-17.40162116149282,-14.615979435000003
-9.425527703914492,-5.811307335000002
-14.330259152203041,-16.914835247715004
-19.495243805599138,-15.418350000000004
-8.624809689928234,-14.466715034777769
-3.7213890304500015,-8.101097114114488
-4.438679699949987,-20.633432435301835
-13.624851481419736,-6.637094107303504
-27.078317370829485,-4.500514663824737
-18.579060121484996,-11.593298742493502
-6.765248742493503,-1.7433922005000007
-14.23339622691584,-12.264212106525816
-6.154791999147831,-12.505520186483333
-19.632298070642985,-11.812752559336499
-14.912147682405001,-2.4029120654333296
-17.402838574637748,-11.946044622748051
-19.627560025179154,-21.49453568648333
-10.001189622748052,-4.691873074637747
-7.82565644715332,-22.46057139073305
-18.835851906787486,-5.97280855990499
-14.023087085752335,-3.4315188682441518
-23.776666419983332,-14.529455660473246
-18.435972009885077,-12.550499726915838
-3.812798742493502,-2.5015772549499866
-23.378173724627764,-5.070302132198331
-11.008578470804991,-39.17078302945499
-15.604574832405005,0.0
-9.359993732084549,-20.613470807803505
-9.479540122023156,-13.976376700500003
-10.215473686806577,-3.922226066403065
-26.309030130450004,-21.471615000000003
-11.201440160473247,-40.553870018835006
-13.201791601500005,-17.675671276350005
-8.40459744380183,-19.526040491016833
-6.543865376984997,-17.205444594425927
-12.42433962463775,-5.850998564098052
-8.857350000000002,-10.960762584983332
-10.396419529454988,-16.987777905514506
-9.545375131419739,-3.4315188682441518
-4.206458774259729,-9.841500000000002
-22.623192254949988,-7.971615000000003
-11.46111958348789,-26.188096585925926
-2.7629994000779936,-26.372102445000003
-3.5644837324050016,-11.716549767776751
-34.85851505206273,-20.972102445000004
-4.348583263727764,-13.179455660473245
-16.518854918244156,-4.908624529454989
-7.3835182444259235,-12.059706884777766
-23.156691601500007,-6.457008150000003
-14.856067876359155,-16.862081943120078
-25.193855748122992,-25.26342734916451
-6.368866981419737,-18.091825694301832
-9.491549151521916,-5.171014783277764
-1.9371024450000007,-11.642334419387737
-5.812744882905003,-3.1419576764849966
-5.371268059336498,-9.876834428976833
-8.483441604224254,-24.294452445000005
-8.419137699421645,-5.811307335000002
-25.91029469994999,-5.811307335000002
-4.695842200500001,-5.6719845000000015
-13.937312981459478,-7.488425258914491
0.0,-9.409795820935413
-30.57908576197325,-16.85715894135
-19.047024382905,-6.925916877698038
-17.950973330492765,-7.324810028634738
-1.676983270910917,-6.211049151521914
-13.119710802656325,-23.043647682405002
-22.69195120753065,-9.326719088451
-7.655539882905002,-0.8338590849833288
-3.280500000000001,-10.175905017405004
-18.486916223699996,-2.5559873051530513
